feature,importance
supertrend_trend,0.08507454
macd_hist_lag7,0.039034694
close,0.037397277
bb_lower,0.035409912
macd_hist_lag1,0.033812493
volatility_change,0.032298256
bb_upper,0.031861607
kdj_divergence_lag7,0.031589486
adx,0.030350108
sma_50,0.029913593
historical_volatility_60d,0.028969726
sma_200,0.02889983
kdj_divergence_lag1,0.02852001
atr_14,0.028345328
volume,0.027407967
volume_ratio,0.026530297
distance_from_200ma,0.025358249
historical_volatility_20d,0.02496032
supertrend_trend_lag30,0.024952421
kdj_divergence,0.024418114
macd_hist,0.023935487
kdj_divergence_lag14,0.023844361
volatility_percentile,0.023806844
bb_width_pct,0.023781978
macd_hist_lag14,0.023503141
macd_hist_lag30,0.02230914
macd_signal,0.021902595
macd,0.021518964
supertrend_trend_lag7,0.020516826
trend_strength,0.020369831
kdj_divergence_lag30,0.020311804
adx_14,0.019539814
atr_normalized,0.019282067
bb_width,0.018753361
rsi_14,0.016225865
trend_regime,0.01622534
supertrend_trend_lag1,0.009068456
volatility_regime,0.0
sector_relative_strength,0.0
sector_outperforming,0.0
spy_trend_regime,0.0
beta_to_spy,0.0
correlation_regime,0.0
correlation_to_spy_30d,0.0
vix_change_5d,0.0
vix_percentile,0.0
vix_regime,0.0
vix,0.0
spy_trend_strength,0.0
spy_above_200ma,0.0
sentiment_score_lag7,0.0
sentiment_score_lag1,0.0
sentiment_score,0.0
supertrend_trend_lag14,0.0
momentum_regime,0.0
